"territory","num_economactivepopulation_all","employed_num_all","unemployed_num_all","eactivity_lvl","employment_lvl","unemployment_lvl","dis_unagegroup_to20","dis_unagegroup_20-29","dis_unagegroup_30-39","dis_unagegroup_40-49","dis_unagegroup_50-59","dis_unagegroup_60older","dis_emagegroup_to20","dis_emagegroup_20-29","dis_emagegroup_30-39","dis_emagegroup_40-49","dis_emagegroup_50-59","dis_emagegroup_60older","num_unagegroup_to20","num_unagegroup_20-29","num_unagegroup_30-39","num_unagegroup_40-49","num_unagegroup_50-59","num_unagegroup_60older","num_emagegroup_to20","num_emagegroup_20-29","num_emagegroup_30-39","num_emagegroup_40-49","num_emagegroup_50-59","num_emagegroup_60older","year"
"Ханты-Мансийский автономный округ - Югра","917.5","877.0","40.5","74.5","71.2","4.4","4.0","41.8","22.8","15.1","15.1","1.2","0.4","21.0","30.3","25.0","21.3","2.0","1.6","16.9","9.2","6.1","6.1","0.5","3.2","184.5","265.5","219.6","186.8","17.4",2015
"Ямало-Ненецкий автономный округ","315.7","304.4","11.3","75.3","72.6","3.6","2.4","46.5","22.6","15.9","11.8","0.9","0.2","18.6","31.2","27.5","20.9","1.7","0.3","5.2","2.5","1.8","1.3","0.1","0.5","56.5","95.1","83.8","63.5","5.1",2015
"Челябинская область","1856.9","1727.5","129.4","70.8","65.8","7.0","3.7","33.6","34.1","13.1","13.5","2.0","0.4","22.5","26.2","22.9","22.8","5.3","4.8","43.5","44.1","16.9","17.4","2.6","6.1","388.1","453.2","396.2","393.1","90.9",2015
"Сибирский федеральный округ","9815.5","9061.5","754.0","67.7","62.5","7.7","4.7","34.8","24.2","16.7","17.0","2.6","0.7","22.6","27.9","22.5","21.3","5.1","35.2","262.5","182.3","126.0","128.4","19.6","66.9","2045.0","2524.1","2039.0","1927.6","458.8",2015
"Республика Алтай","99.7","90.0","9.7","67.7","61.1","9.7","5.8","31.3","22.4","19.0","19.3","2.2","1.4","21.3","29.5","21.9","20.1","5.9","0.6","3.0","2.2","1.8","1.9","0.2","1.2","19.2","26.5","19.7","18.1","5.3",2015
"Республика Бурятия","458.2","415.9","42.4","64.5","58.6","9.2","3.8","37.2","23.6","17.2","17.4","0.7","0.6","24.7","29.0","21.3","20.1","4.3","1.6","15.8","10.0","7.3","7.4","0.3","2.4","102.5","120.7","88.6","83.7","18.0",2015
"Республика Тыва","125.1","101.9","23.2","60.4","49.2","18.6","4.6","37.5","27.2","20.2","9.5","1.0","0.9","22.9","29.8","27.8","15.0","3.6","1.1","8.7","6.3","4.7","2.2","0.2","0.9","23.4","30.4","28.3","15.2","3.7",2015
"Республика Хакасия","262.3","246.9","15.3","65.9","62.1","5.8","2.2","40.6","26.6","13.4","15.9","1.3","0.4","20.9","29.1","23.0","22.2","4.5","0.3","6.2","4.1","2.1","2.4","0.2","1.0","51.5","71.8","56.7","54.8","11.1",2015
"Алтайский край","1180.4","1085.6","94.8","65.8","60.5","8.0","2.2","31.4","25.0","18.2","19.4","3.8","0.4","20.5","28.0","23.1","23.8","4.3","2.1","29.7","23.7","17.2","18.4","3.6","4.8","222.1","303.7","250.3","258.3","46.3",2015
"Забайкальский край","535.7","480.0","55.7","66.3","59.4","10.4","4.0","40.3","23.1","16.4","15.3","0.9","0.8","24.1","29.1","22.1","20.5","3.3","2.2","22.4","12.9","9.2","8.5","0.5","3.8","115.7","139.8","106.2","98.5","16.0",2015
"Красноярский край","1500.8","1407.4","93.3","68.9","64.6","6.2","7.1","33.1","25.8","16.6","14.6","2.7","0.6","23.1","28.1","23.1","20.3","4.7","6.6","30.9","24.1","15.5","13.6","2.6","8.4","325.8","396.1","324.9","285.9","66.4",2015
"Иркутская область","1259.4","1156.3","103.1","69.9","64.2","8.2","5.8","33.4","19.7","16.9","20.7","3.6","1.2","23.8","27.2","22.2","19.5","6.0","6.0","34.4","20.3","17.4","21.3","3.7","14.2","275.6","314.8","256.9","225.3","69.6",2015
"Кемеровская область","1376.2","1270.7","105.5","67.0","61.9","7.7","4.2","34.1","27.5","16.1","15.6","2.5","0.5","22.0","28.4","22.4","21.9","4.9","4.5","36.0","29.0","17.0","16.4","2.7","6.5","279.0","360.6","284.4","278.2","62.0",2015
"Новосибирская область","1441.1","1342.2","98.9","69.1","64.3","6.9","4.3","32.6","24.1","17.8","19.5","1.6","0.7","23.8","27.0","21.6","21.0","5.9","4.3","32.3","23.9","17.6","19.2","1.6","9.5","318.8","362.8","289.5","282.1","79.5",2015
"Омская область","1050.3","978.6","71.7","70.2","65.4","6.8","7.0","41.0","20.2","13.1","15.2","3.5","1.2","19.6","26.5","22.5","23.9","6.5","5.0","29.4","14.5","9.4","10.9","2.5","11.4","191.6","259.1","219.8","233.6","63.1",2015
"Томская область","526.5","486.1","40.4","64.0","59.1","7.7","2.3","33.7","28.2","16.9","15.2","3.7","0.6","24.6","28.4","23.4","19.3","3.7","0.9","13.6","11.4","6.8","6.2","1.5","2.8","119.8","137.8","113.7","94.0","18.0",2015
"Дальневосточный федеральный округ","3376.3","3165.0","211.3","70.2","65.8","6.3","3.3","31.7","24.0","17.2","19.1","4.7","0.6","22.2","27.1","23.5","20.2","6.5","7.0","67.0","50.6","36.4","40.4","9.9","18.3","702.7","858.5","742.3","638.3","204.9",2015
"Республика Саха (Якутия)","501.3","464.5","36.7","70.8","65.6","7.3","3.1","35.3","20.5","16.8","18.7","5.6","0.9","23.6","26.9","23.8","20.0","4.9","1.2","13.0","7.5","6.2","6.9","2.1","4.1","109.8","124.8","110.4","92.8","22.6",2015
"Камчатский край","188.9","180.4","8.4","74.3","71.0","4.5","4.9","38.1","21.0","20.1","11.3","4.6","0.6","20.5","28.2","24.2","19.1","7.4","0.4","3.2","1.8","1.7","1.0","0.4","1.1","37.0","50.9","43.7","34.4","13.3",2015
"Приморский край","1056.6","983.2","73.4","69.7","64.9","6.9","2.6","29.4","24.9","14.3","24.3","4.4","0.5","21.5","26.5","24.2","20.6","6.7","1.9","21.6","18.3","10.5","17.8","3.2","4.5","211.6","260.9","237.6","202.6","66.0",2015
"Хабаровский край","727.9","689.0","38.9","69.6","65.9","5.3","2.3","33.8","24.1","19.4","16.5","3.9","0.6","24.0","27.1","22.7","18.9","6.7","0.9","13.2","9.4","7.6","6.4","1.5","4.2","165.4","187.0","156.5","129.9","45.9",2015
"Амурская область","411.8","387.7","24.0","66.8","62.9","5.8","3.9","27.5","26.5","20.3","16.4","5.3","0.7","22.6","27.6","22.5","20.9","5.6","0.9","6.6","6.4","4.9","3.9","1.3","2.8","87.4","107.2","87.2","81.2","21.9",2015
"Магаданская область","93.3","89.3","4.0","77.7","74.3","4.3","9.4","33.3","12.8","18.9","13.7","11.9","0.3","17.6","27.7","23.2","23.3","7.9","0.4","1.3","0.5","0.8","0.5","0.5","0.3","15.7","24.7","20.7","20.8","7.1",2015
"Сахалинская область","279.8","262.0","17.8","72.7","68.1","6.3","5.7","33.7","24.8","18.9","13.4","3.5","0.2","20.4","27.7","23.1","20.4","8.1","1.0","6.0","4.4","3.4","2.4","0.6","0.6","53.5","72.6","60.5","53.5","21.3",2015
"Еврейская автономная область","84.6","77.9","6.7","65.6","60.4","7.9","4.1","24.5","30.7","19.0","17.5","4.3","0.6","20.9","28.1","23.1","21.0","6.3","0.3","1.6","2.1","1.3","1.2","0.3","0.5","16.2","21.9","18.0","16.4","4.9",2015
"Чукотский автономный округ","32.2","30.9","1.3","81.8","78.5","4.0","2.8","32.9","21.9","19.1","21.5","1.7","0.8","19.2","27.5","25.0","21.6","6.0","0.0","0.4","0.3","0.2","0.3","0.0","0.2","5.9","8.5","7.7","6.7","1.8",2015
"Крымский федеральный округ","1163.0","1077.2","85.8","65.3","60.5","7.4","3.5","31.4","25.2","19.9","17.6","2.4","0.7","20.9","26.8","24.2","21.7","5.7","3.0","26.9","21.6","17.1","15.1","2.1","7.6","225.3","289.1","260.3","233.9","61.1",2015
"Республика Крым","964.0","894.8","69.2","64.8","60.1","7.2","3.5","31.3","26.6","22.1","16.1","0.5","0.7","21.3","26.7","24.3","22.0","5.1","2.4","21.7","18.4","15.3","11.2","0.3","6.1","190.3","238.7","217.1","196.8","45.8",2015
"г. Севастополь","199.0","182.5","16.6","67.9","62.2","8.3","3.8","31.6","19.4","10.7","23.8","10.7","0.9","19.2","27.6","23.6","20.3","8.4","0.6","5.2","3.2","1.8","3.9","1.8","1.6","35.0","50.4","43.1","37.1","15.3",2015
"Российская Федерация","76108.5","72142.0","3966.5","69.1","65.5","5.2","3.8","34.4","23.8","17.8","16.8","3.4","0.5","20.1","28.1","24.1","21.7","5.3","152.2","1363.4","944.8","704.6","666.1","135.5","383.8","14525.2","20306.9","17402.8","15669.4","3853.9",2017
"Центральный федеральный округ","21282.2","20591.0","691.1","71.4","69.0","3.2","2.7","33.6","24.5","17.6","17.6","3.9","0.4","18.2","27.9","24.4","23.1","6.0","18.8","232.5","169.5","121.7","121.6","27.1","74.8","3750.1","5746.6","5027.3","4753.7","1238.6",2017
"Белгородская область","823.2","791.1","32.1","70.2","67.4","3.9","2.1","38.4","26.3","16.7","14.5","2.1","0.6","20.3","26.9","23.6","24.3","4.2","0.7","12.3","8.4","5.4","4.7","0.7","4.7","160.3","213.1","186.9","192.5","33.6",2017
"Брянская область","612.3","585.2","27.0","66.5","63.6","4.4","1.5","35.6","23.6","18.7","19.4","1.3","0.3","20.4","27.2","25.5","21.8","4.7","0.4","9.6","6.4","5.0","5.2","0.3","2.0","119.5","159.2","149.3","127.7","27.6",2017
"Владимирская область","730.2","694.9","35.3","69.4","66.1","4.8","2.1","26.0","27.4","21.8","21.4","1.3","0.4","19.9","26.8","24.0","22.6","6.3","0.7","9.2","9.7","7.7","7.6","0.5","3.0","138.2","186.5","166.5","156.9","43.9",2017
"Воронежская область","1176.4","1125.2","51.2","66.5","63.6","4.3","2.8","30.0","23.4","17.7","21.1","5.0","0.4","19.2","26.8","24.3","23.5","5.8","1.5","15.3","12.0","9.1","10.8","2.6","4.9","216.0","301.8","273.0","263.9","65.6",2017
"Ивановская область","541.9","516.5","25.4","69.9","66.6","4.7","2.7","26.7","19.5","18.9","24.3","7.9","0.5","21.1","26.6","24.3","21.4","6.0","0.7","6.8","5.0","4.8","6.2","2.0","2.4","109.1","137.6","125.6","110.8","31.0",2017
"Калужская область","537.7","516.1","21.6","70.3","67.5","4.0","4.6","35.4","21.9","18.6","16.8","2.6","0.2","17.6","27.6","23.6","23.9","7.1","1.0","7.6","4.7","4.0","3.6","0.6","0.9","91.1","142.4","121.6","123.3","36.9",2017
"Костромская область","326.2","308.9","17.3","67.4","63.8","5.3","3.5","26.9","22.2","22.7","22.5","2.2","0.5","20.0","27.5","23.8","23.0","5.1","0.6","4.7","3.8","3.9","3.9","0.4","1.6","61.6","85.1","73.6","71.1","15.8",2017
"Курская область","571.4","547.9","23.5","67.8","65.0","4.1","4.4","36.0","17.3","22.5","17.7","2.1","0.4","19.9","26.6","24.3","23.9","4.9","1.0","8.5","4.1","5.3","4.1","0.5","2.0","109.3","145.6","132.9","131.2","26.9",2017
"Липецкая область","598.4","575.3","23.1","68.9","66.3","3.9","2.2","33.2","25.2","18.0","16.9","4.5","0.5","18.0","27.2","25.3","24.6","4.4","0.5","7.7","5.8","4.2","3.9","1.0","2.7","103.6","156.6","145.8","141.3","25.2",2017
"Московская область","4078.5","3948.2","130.3","72.9","70.6","3.2","3.0","35.8","26.0","13.3","15.6","6.4","0.2","17.2","29.2","24.0","22.3","7.1","3.8","46.6","33.8","17.4","20.3","8.3","9.2","678.3","1152.0","949.0","879.8","279.9",2017
"Орловская область","378.5","353.9","24.6","65.9","61.7","6.5","2.7","34.8","29.2","18.7","14.7",,"0.3","20.3","25.5","24.4","22.5","6.9","0.7","8.5","7.2","4.6","3.6",,"1.2","71.8","90.3","86.4","79.6","24.5",2017
"Рязанская область","539.1","517.1","22.0","63.4","60.8","4.1","4.1","32.5","22.3","22.1","16.3","2.7","0.4","18.5","27.5","25.5","23.1","5.0","0.9","7.1","4.9","4.9","3.6","0.6","2.1","95.6","142.0","131.8","119.6","26.0",2017
"Смоленская область","520.6","490.7","29.8","70.6","66.6","5.7","4.4","32.9","20.1","22.3","16.9","3.5","0.5","19.9","26.6","23.1","23.1","6.9","1.3","9.8","6.0","6.6","5.0","1.0","2.2","97.8","130.3","113.5","113.2","33.6",2017
"Тамбовская область","515.7","493.3","22.5","64.8","62.0","4.4","1.5","36.5","21.1","20.5","19.8","0.6","0.3","18.7","26.5","25.5","24.7","4.3","0.3","8.2","4.7","4.6","4.5","0.1","1.6","92.1","130.6","126.0","121.6","21.3",2017
"Тверская область","686.4","655.4","31.0","70.2","67.1","4.5","4.3","30.4","21.3","18.2","21.3","4.6","0.7","19.6","26.5","23.6","23.4","6.2","1.3","9.4","6.6","5.6","6.6","1.4","4.4","128.7","173.7","154.4","153.4","40.8",2017
"Тульская область","790.9","760.2","30.7","69.1","66.4","3.9","3.6","30.9","20.8","18.5","21.0","5.1","0.2","18.9","27.2","24.6","21.6","7.4","1.1","9.5","6.4","5.7","6.4","1.6","1.6","143.6","206.5","187.2","164.6","56.6",2017
"Ярославская область","668.4","624.3","44.1","70.2","65.6","6.6","2.0","25.5","24.4","23.8","21.9","2.4","0.4","19.8","27.5","24.1","21.0","7.3","0.9","11.3","10.8","10.5","9.7","1.1","2.4","123.5","171.5","150.2","131.1","45.5",2017
"г. Москва","7186.4","7086.8","99.6","75.3","74.2","1.4","1.3","40.5","29.3","12.4","12.0","4.5","0.4","17.1","28.5","24.7","23.6","5.7","1.3","40.4","29.2","12.4","11.9","4.5","25.7","1210.0","2021.7","1753.5","1672.0","403.9",2017
"Северо-Западный федеральный округ","7557.4","7237.4","320.0","71.3","68.2","4.2","4.3","31.3","22.0","17.4","19.9","5.1","0.3","19.9","28.2","23.7","21.2","6.7","13.6","100.3","70.5","55.6","63.6","16.5","25.0","1439.2","2040.4","1715.0","1532.6","485.2",2017
"Республика Карелия","318.4","291.0","27.4","67.1","61.3","8.6","5.5","27.1","21.2","21.5","17.9","6.7","0.7","20.3","28.8","25.5","18.6","6.0","1.5","7.4","5.8","5.9","4.9","1.8","2.1","59.1","83.9","74.3","54.3","17.4",2017
"Республика Коми","444.4","409.6","34.8","68.4","63.0","7.8","3.2","24.8","28.4","20.3","19.8","3.5","0.7","19.0","30.3","25.3","19.4","5.2","1.1","8.6","9.9","7.1","6.9","1.2","2.8","78.0","124.1","103.8","79.4","21.4",2017
"Архангельская область","588.8","550.8","38.0","66.9","62.5","6.5","2.9","31.3","22.1","19.9","19.1","4.7","0.5","19.9","30.4","25.3","18.5","5.4","1.1","11.9","8.4","7.6","7.3","1.8","2.5","109.8","167.7","139.3","101.8","29.6",2017
"Ненецкий автономный округ","22.1","20.4","1.8","69.0","63.4","8.0","6.5","29.8","24.5","18.5","16.8","3.9","0.4","17.9","32.3","24.9","19.5","5.0","0.1","0.5","0.4","0.3","0.3","0.1","0.1","3.6","6.6","5.1","4.0","1.0",2017
"Вологодская область","585.1","554.2","30.9","66.2","62.7","5.3","3.4","27.5","26.7","19.5","21.5","1.4","0.5","20.5","29.6","24.0","21.8","3.6","1.0","8.5","8.2","6.0","6.6","0.4","2.7","113.8","164.2","133.0","120.6","20.0",2017
"Калининградская область","518.7","491.8","26.9","69.4","65.8","5.2","2.0","24.0","28.2","21.4","17.7","6.7","0.3","21.6","26.1","23.7","21.2","7.1","0.5","6.4","7.6","5.8","4.8","1.8","1.7","106.2","128.2","116.6","104.2","34.9",2017
"Ленинградская область","988.1","943.0","45.1","71.6","68.4","4.6","5.3","35.0","21.3","12.8","17.9","7.6","0.4","18.4","28.1","23.3","22.2","7.6","2.4","15.8","9.6","5.8","8.1","3.4","3.3","173.3","265.2","220.0","209.7","71.5",2017
"Мурманская область","439.2","408.3","30.9","74.3","69.0","7.0","7.8","24.5","22.4","15.1","25.0","5.3","0.4","20.8","28.1","25.2","19.2","6.3","2.4","7.6","6.9","4.7","7.7","1.6","1.8","85.1","114.8","102.8","78.2","25.6",2017
"Новгородская область","315.3","300.4","14.9","68.9","65.6","4.7","3.7","26.8","19.7","17.7","29.5","2.6","0.2","19.1","27.5","23.5","23.1","6.6","0.6","4.0","2.9","2.6","4.4","0.4","0.7","57.3","82.5","70.6","69.5","19.8",2017
"Псковская область","318.7","297.9","20.8","65.6","61.3","6.5","3.2","21.4","23.7","24.5","21.7","5.6","0.3","19.4","26.0","24.2","24.0","6.2","0.7","4.4","4.9","5.1","4.5","1.2","0.9","57.8","77.4","72.0","71.5","18.4",2017
"г. Санкт-Петербург","3040.8","2990.5","50.3","75.0","73.8","1.7","4.6","50.8","12.2","10.1","16.8","5.6","0.2","20.0","27.8","22.8","21.5","7.6","2.3","25.5","6.1","5.1","8.4","2.8","6.6","598.8","832.5","682.6","643.5","226.6",2017
"Южный федеральный округ","8178.5","7684.4","494.0","66.8","62.8","6.0","2.8","34.4","23.9","18.1","17.8","3.0","0.5","20.2","28.1","24.5","21.2","5.4","13.9","169.9","118.0","89.4","88.0","14.9","40.8","1555.0","2162.2","1881.8","1632.2","412.5",2017
"Республика Адыгея","200.1","182.5","17.6","60.2","54.9","8.8","1.1","26.8","31.6","25.7","14.8",,"0.3","20.9","29.2","26.1","20.8","2.6","0.2","4.7","5.5","4.5","2.6",,"0.6","38.2","53.3","47.7","38.1","4.7",2017
"Республика Калмыкия","140.0","126.1","13.9","68.2","61.4","10.0","5.7","29.3","29.0","16.6","18.7","0.7","0.5","20.6","26.0","21.4","24.6","6.7","0.8","4.1","4.0","2.3","2.6","0.1","0.7","26.0","32.8","27.0","31.1","8.5",2017
"Республика Крым","915.5","857.2","58.4","64.4","60.3","6.4","1.9","27.9","29.3","19.7","20.4","0.7","0.4","19.8","28.5","24.7","21.9","4.7","1.1","16.3","17.1","11.5","11.9","0.4","3.6","170.0","244.2","212.0","187.5","39.9",2017
"Краснодарский край","2776.8","2619.0","157.8","67.7","63.9","5.7","2.4","37.1","20.9","18.6","17.9","3.2","0.5","19.2","28.7","25.0","21.0","5.6","3.7","58.5","33.0","29.3","28.3","5.0","13.3","501.8","752.2","653.8","551.0","146.8",2017
"Астраханская область","535.5","495.5","40.0","71.2","65.9","7.5","4.2","33.4","30.2","13.7","13.4","5.2","0.6","21.8","26.8","23.3","21.2","6.2","1.7","13.3","12.1","5.5","5.4","2.1","3.2","107.9","132.7","115.7","105.2","30.8",2017
"Волгоградская область","1270.1","1193.3","76.8","66.5","62.5","6.0","3.1","30.8","21.6","21.7","20.5","2.2","0.6","21.7","27.6","24.2","20.8","5.2","2.4","23.7","16.6","16.7","15.8","1.7","6.6","258.5","328.8","288.5","248.5","62.3",2017
"Ростовская область","2138.4","2018.1","120.4","66.9","63.1","5.6","3.3","38.4","22.9","14.9","16.3","4.2","0.6","20.5","27.9","24.3","21.4","5.3","4.0","46.2","27.6","18.0","19.6","5.0","12.2","414.1","562.3","490.7","432.5","106.3",2017
"г. Севастополь","202.0","192.8","9.2","63.8","60.9","4.6",,"32.9","22.2","18.2","20.3","6.4","0.3","19.9","29.0","24.1","19.9","6.8",,"3.0","2.0","1.7","1.9","0.6","0.6","38.4","55.9","46.5","38.4","13.1",2017
"Северо-Кавказский федеральный округ","4559.3","4058.0","501.3","65.5","58.3","11.0","5.2","41.8","24.9","16.7","9.7","1.7","1.9","23.4","27.5","23.5","19.3","4.4","26.3","209.3","124.9","83.6","48.8","8.4","77.0","950.2","1114.9","954.9","782.6","178.4",2017
"Республика Дагестан","1359.8","1196.4","163.4","63.1","55.5","12.0","8.1","43.5","25.2","13.7","8.9","0.6","2.3","25.1","27.0","24.5","17.4","3.7","13.2","71.1","41.2","22.3","14.5","1.0","27.3","300.4","322.5","293.4","208.4","44.5",2017
"Республика Ингушетия","250.5","183.0","67.6","77.1","56.3","27.0","3.9","54.3","25.4","11.5","4.5","0.4","1.4","22.1","25.9","23.7","21.5","5.4","2.6","36.7","17.2","7.8","3.0","0.3","2.6","40.4","47.3","43.4","39.3","9.9",2017
"Кабардино-Балкарская Республика","433.2","387.9","45.3","68.3","61.2","10.5","1.8","39.0","29.9","17.3","12.1",,"1.7","22.3","24.9","22.8","21.5","6.8","0.8","17.7","13.6","7.8","5.5",,"6.7","86.4","96.5","88.4","83.5","26.4",2017
"Карачаево-Черкесская Республика","209.7","181.4","28.3","61.1","52.8","13.5","2.3","30.9","27.2","20.4","17.4","1.9","0.6","21.5","27.1","24.6","20.1","6.1","0.7","8.7","7.7","5.8","4.9","0.5","1.2","39.0","49.1","44.5","36.5","11.1",2017
"Республика Северная Осетия-Алания","333.1","293.7","39.4","65.7","58.0","11.8","0.6","30.4","20.0","20.9","20.7","7.4","0.3","18.8","26.8","25.7","22.2","6.3","0.2","12.0","7.9","8.2","8.2","2.9","0.8","55.1","78.6","75.4","65.3","18.5",2017
"Чеченская Республика","621.2","534.1","87.1","68.4","58.8","14.0","7.5","44.6","18.9","20.9","4.9","3.2","6.3","29.9","28.5","18.6","13.9","2.7","6.6","38.8","16.5","18.2","4.3","2.8","33.5","159.7","152.4","99.5","74.5","14.4",2017
"Ставропольский край","1351.8","1281.6","70.2","64.6","61.2","5.2","3.2","34.7","29.8","19.1","11.9","1.3","0.4","21.0","28.8","24.2","21.5","4.2","2.2","24.3","20.9","13.4","8.4","0.9","4.9","269.2","368.5","310.3","275.1","53.6",2017
"Приволжский федеральный округ","15185.3","14471.0","714.3","68.3","65.1","4.7","3.6","34.9","22.3","18.3","18.1","2.9","0.5","20.9","27.4","24.2","22.7","4.3","25.5","249.3","159.1","130.6","129.3","20.5","69.1","3024.5","3962.8","3503.3","3290.5","620.9",2017
"Республика Башкортостан","1992.8","1881.3","111.5","66.4","62.7","5.6","3.3","35.6","23.2","21.0","15.7","1.1","0.5","22.3","27.3","24.0","22.7","3.2","3.7","39.7","25.9","23.5","17.5","1.2","10.3","420.0","512.8","451.5","426.5","60.2",2017
"Республика Марий Эл","346.8","325.5","21.3","67.5","63.4","6.1","1.9","27.3","27.0","17.7","23.5","2.7","0.4","21.3","27.6","22.8","23.5","4.5","0.4","5.8","5.7","3.8","5.0","0.6","1.2","69.2","89.9","74.1","76.5","14.5",2017
"Республика Мордовия","434.8","416.3","18.5","69.8","66.8","4.2","2.0","29.6","15.3","23.6","23.2","6.4","0.6","22.0","26.0","24.2","23.2","4.0","0.4","5.5","2.8","4.4","4.3","1.2","2.5","91.5","108.3","100.6","96.8","16.6",2017
"Республика Татарстан","2038.9","1968.2","70.8","70.7","68.2","3.5","2.7","40.2","23.9","13.6","17.7","2.0","0.5","22.9","26.9","23.1","22.8","3.9","1.9","28.4","16.9","9.6","12.5","1.4","9.3","450.6","528.9","453.8","449.1","76.5",2017
"Удмуртская Республика","788.7","750.6","38.1","70.0","66.6","4.8","4.8","21.6","21.6","18.1","26.7","7.2","0.6","21.6","28.3","23.5","22.5","3.5","1.8","8.2","8.2","6.9","10.2","2.7","4.6","162.2","212.5","176.3","168.8","26.2",2017
"Чувашская Республика","625.9","594.0","31.9","67.9","64.5","5.1","4.5","27.6","28.1","20.1","18.6","1.1","0.6","21.2","26.4","25.2","22.1","4.4","1.4","8.8","8.9","6.4","5.9","0.3","3.4","126.1","156.9","149.7","131.6","26.4",2017
"Пермский край","1280.2","1202.7","77.5","65.5","61.5","6.1","2.5","32.3","25.0","20.8","17.7","1.8","0.4","21.3","29.0","25.3","20.4","3.6","1.9","25.0","19.4","16.1","13.7","1.4","5.1","255.7","348.9","304.7","245.3","42.9",2017
"Кировская область","670.8","635.2","35.6","69.1","65.5","5.3","9.2","25.7","18.5","19.7","24.5","2.4","0.9","19.3","27.4","23.2","23.6","5.6","3.3","9.1","6.6","7.0","8.7","0.9","5.5","122.8","174.0","147.5","149.6","35.8",2017
"Нижегородская область","1771.1","1695.9","75.2","71.8","68.8","4.2","3.9","42.2","16.7","14.3","18.2","4.8","0.3","20.8","27.6","23.5","22.8","4.9","2.9","31.7","12.5","10.7","13.7","3.6","5.3","353.2","467.6","399.1","387.5","83.3",2017
"Оренбургская область","1003.4","957.7","45.7","68.2","65.1","4.6","4.1","45.6","23.1","14.8","10.9","1.5","1.1","20.5","27.4","24.0","22.7","4.4","1.9","20.8","10.5","6.8","5.0","0.7","10.1","195.9","262.5","229.8","217.3","42.1",2017
"Пензенская область","672.5","642.0","30.5","65.6","62.7","4.5","2.0","24.6","32.9","17.8","17.5","5.2","0.2","19.0","26.0","25.3","24.3","5.1","0.6","7.5","10.0","5.4","5.3","1.6","1.6","122.0","166.9","162.6","156.1","32.9",2017
"Самарская область","1718.4","1646.2","72.2","70.5","67.5","4.2","4.2","38.1","18.4","19.4","15.5","4.4","0.3","18.5","27.9","24.6","23.1","5.7","3.0","27.5","13.3","14.0","11.2","3.2","4.8","303.7","458.5","404.8","380.5","93.8",2017
"Саратовская область","1199.6","1142.2","57.4","63.8","60.7","4.8","3.1","37.5","19.2","18.9","18.7","2.6","0.4","20.1","27.7","26.4","21.8","3.6","1.8","21.5","11.0","10.8","10.7","1.5","4.1","230.1","316.8","301.0","248.9","41.3",2017
"Ульяновская область","641.4","613.1","28.3","66.8","63.9","4.4","1.6","33.9","25.7","18.1","19.5","1.1","0.2","19.8","25.8","24.1","25.4","4.6","0.5","9.6","7.3","5.1","5.5","0.3","1.3","121.4","158.4","147.9","155.8","28.3",2017
"Уральский федеральный округ","6385.1","6029.9","355.2","69.4","65.6","5.6","3.8","33.6","23.9","17.0","18.5","3.2","0.4","20.6","29.4","24.4","21.1","4.2","13.4","119.3","85.0","60.5","65.7","11.3","24.1","1243.2","1770.1","1472.4","1269.5","250.5",2017
"Курганская область","402.4","365.7","36.7","63.9","58.0","9.1","4.2","31.8","18.1","19.4","24.1","2.4","0.8","19.8","26.7","24.5","23.2","4.9","1.6","11.7","6.7","7.1","8.8","0.9","3.0","72.3","97.8","89.7","85.0","18.0",2017
"Свердловская область","2174.8","2056.0","118.8","67.4","63.7","5.5","4.2","32.1","20.3","19.2","19.8","4.3","0.4","21.1","29.3","24.1","20.1","5.1","5.0","38.1","24.1","22.9","23.5","5.2","8.8","432.9","601.6","495.4","413.3","104.1",2017
"Тюменская область","1947.6","1871.5","76.2","71.3","68.5","3.9","4.7","38.1","24.6","15.8","15.7","1.2","0.4","20.1","31.1","25.4","20.7","2.3","3.6","29.0","18.8","12.0","11.9","0.9","7.7","376.1","582.7","475.7","386.8","42.5",2017
"Ханты-Мансийский автономный округ - Югра","916.8","886.8","30.0","73.9","71.5","3.3","5.2","33.7","32.1","12.9","14.3","1.8","0.4","18.8","30.8","25.8","21.9","2.3","1.5","10.1","9.6","3.9","4.3","0.5","3.3","166.4","273.5","229.0","194.5","20.1",2017
"Ямало-Ненецкий автономный округ","313.2","303.3","10.0","76.7","74.2","3.2","8.7","52.4","18.3","14.0","5.0","1.8","0.2","17.2","31.9","27.9","21.2","1.7","0.9","5.2","1.8","1.4","0.5","0.2","0.6","52.2","96.7","84.5","64.3","5.1",2017
"Челябинская область","1860.3","1736.8","123.5","71.4","66.7","6.6","2.6","32.8","28.7","15.0","17.3","3.6","0.3","20.8","28.1","23.7","22.1","4.9","3.2","40.4","35.5","18.5","21.4","4.4","4.7","362.0","488.0","411.7","384.5","85.9",2017
"Сибирский  федеральный округ","9621.3","8919.1","702.2","66.9","62.0","7.3","4.7","31.4","24.7","18.4","17.1","3.8","0.6","21.4","29.5","23.4","20.0","5.0","33.1","220.3","173.4","129.0","119.7","26.6","57.7","1912.2","2628.3","2090.7","1783.8","446.5",2017
"Республика Алтай","98.5","86.7","11.8","66.3","58.4","12.0","2.5","26.8","27.6","27.9","13.6","1.6","1.6","20.4","30.5","22.3","19.1","6.1","0.3","3.2","3.3","3.3","1.6","0.2","1.4","17.6","26.5","19.3","16.6","5.2",2017
